"","name","coordinates.latitude","coordinates.longitude","price","review_count","rating","is_closed"
"142","Ravenna Brewing Company",47.668382,-122.29925,"$",68,4.5,FALSE
"143","Red Pepper",47.6626122,-122.313306257129,"$$",104,3,FALSE
"144","Residence Inn by Marriott Seattle University District",47.6617383541652,-122.315657617037,"$$",26,4.5,FALSE
"145","Saigon Deli",47.6581344604492,-122.314018249512,"$",189,4,FALSE
"146","Samir's Mediterranean Grill",47.65991,-122.31341,"$",154,4,FALSE
"147","Samurai Noodle",47.65799,-122.31288,"$$",347,3,FALSE
"148","Sand Point Grill",47.66811,-122.27691,"$$",116,4,FALSE
"149","Sarducci's Specialty Sub",47.65796,-122.31354,"$",109,3.5,FALSE
"150","Zen Noodle & Cafe",47.66236,-122.31343,"$",147,3.5,FALSE
"151","Seattle Sunshine Coffee",47.6688690185547,-122.289855957031,"$",78,4.5,FALSE
"152","Seven Coffee Roasters",47.6690769,-122.3060252,"$",59,4.5,FALSE
"153","Sharetea",47.6613402793565,-122.316258698702,"$",454,4,FALSE
"154","Shawarma King",47.66093,-122.31359,"$",204,4.5,FALSE
"155","Shawarma King",47.6679654176159,-122.312966287136,"$",22,4,FALSE
"156","Shell",47.58143,-122.31374,"$",51,4,FALSE
"157","Shultzy's Bar & Grill",47.65735,-122.3129,"$$",374,3.5,FALSE
"158","Sichuan Hot Pot",47.6643,-122.31557,"$$",47,3,FALSE
"159","Woodinville Chiropractic",47.7557901757665,-122.151728016394,NA,8,5,FALSE
"160","Sizzle&Crunch",47.65822,-122.31372,"$",286,4,FALSE
"161","Slate Coffee Roasters",47.66114,-122.31378,"$$",101,3.5,FALSE
"162","Somtam Thai",47.6642113,-122.3127518,"$",176,3.5,FALSE
"163","Anchored Ship Coffee Bar",47.6666768,-122.3833298,"$",129,4,FALSE
"164","Starbucks",47.609009,-122.339942,"$",153,3.5,FALSE
"165","Street Bean Coffee",47.6173786,-122.3493343,"$",260,4.5,FALSE
"166","Subway",47.6610565185547,-122.317375183105,"$",47,2,FALSE
"167","Subway",47.341452,-122.30215,"$",11,2,FALSE
"168","Sultan Gyro Grill & Shawarma",47.6590045,-122.3128726,"$",129,4,FALSE
"169","Sureshot",47.66148,-122.31346,"$",199,4,FALSE
"170","Sweet Alchemy Ice Creamery",47.65998,-122.31337,"$$",285,4.5,FALSE
"171","Talaris Conference Center",47.6594755,-122.2839212,"$$",32,4,FALSE
"172","Taste of India",47.669083,-122.317484,"$$",1403,4.5,FALSE
"173","Taste of India",47.669083,-122.317484,"$$",1403,4.5,FALSE
"174","Taste Of Xi'an",47.66196,-122.31345,"$$",267,4,FALSE
"175","Tasty",47.66015,-122.3134,NA,12,4,FALSE
"176","T12 Social House",47.661436,-122.31555,"$$",100,3.5,FALSE
"177","Tea Republik",47.6620911,-122.3132793,"$",290,4.5,FALSE
"178","Teriyaki 1st",47.6667137145996,-122.313400268555,"$",310,4.5,FALSE
"179","Thai 65",47.6587699,-122.31286,"$",283,2.5,FALSE
"180","Thai Tom",47.662455,-122.3132706,"$",2035,3.5,FALSE
"181","Thaiger Room",47.65923,-122.31296,"$",563,3,FALSE
"182","Pho Than Brothers",47.6585,-122.31337,"$",276,3.5,FALSE
"183","Thanh Vi",47.65919,-122.31296,"$",451,4,FALSE
"184","The Block",47.658823,-122.3128628,NA,39,3,FALSE
"185","Victoria Clipper",47.613617,-122.354048,NA,310,3,FALSE
"186","Tig Kitchen and Bar",47.667652,-122.31269,"$$",31,3,FALSE
"187","Toshi's Teriyaki The Original",47.66111,-122.28755,"$",39,4,FALSE
"188","Trinity Market",47.65973,-122.31828,"$",92,4,FALSE
"189","Trophy Cupcakes and Party",47.6622760371403,-122.299330607057,"$$",283,3.5,FALSE
"190","U:Don Fresh Japanese Noodle Station",47.61588,-122.31655,"$",299,4,FALSE
"191","Ugly Mug Café",47.6597958,-122.3139519,"$",427,4.5,FALSE
"192","Uncle ​Lee's",47.66139,-122.2913,"$$",80,3.5,FALSE
"193","University Book Store",47.66042,-122.31282,"$$",173,4,FALSE
"194","Costco",47.681247,-122.18189,"$$",219,3.5,FALSE
"195","University Inn",47.65779,-122.31747,"$$",119,4,FALSE
"196","Silver Cloud Hotel Seattle - University District",47.6658592224121,-122.299530029297,"$$",62,4,FALSE
"197","University Kitchen",47.6571884155273,-122.31290435791,"$",51,2.5,FALSE
"198","University Village 76",47.66667,-122.30027,NA,9,3,FALSE
"199","Zoka Coffee Roaster & Tea",47.66589,-122.29734,"$",269,4,FALSE
"200","Varlamos Pizzeria",47.6609615907563,-122.288446873426,"$$",145,4,FALSE
"201","Veggie Grill",47.6632151,-122.2986458,"$$",364,4,FALSE
"202","Ventoux Roasters",47.6687,-122.29096,"$",81,5,FALSE
"203","Village Sushi",47.66684,-122.31325,"$$",55,4,FALSE
"204","Wann Yen",47.65969,-122.31346,"$",115,4.5,FALSE
"205","Watertown Hotel",47.65955,-122.31742,"$$",161,4,FALSE
"206","Wunderkind",47.6686615039417,-122.292180173099,NA,27,3,FALSE
"207","Xi'an Noodles",47.66815,-122.31319,"$",608,4,FALSE
"208","Yummy Bites",47.65774,-122.3135,"$",91,3,FALSE
"209","Zeta Tau Alpha",47.66401,-122.30872,NA,1,5,FALSE
